account_id,customer_id,account_type,balance,credit_limit,status,opened_date
ACC000001,CUST00001,Savings,142512.75,0,Inactive,2020-04-13
ACC000002,CUST00002,Savings,97887.78,0,Active,2025-08-29
ACC000003,CUST00003,Savings,92091.22,0,Active,2021-01-21
ACC000004,CUST00004,Savings,92092.2,0,Active,2023-05-31
ACC000005,CUST00005,Current,246645.6,0,Active,2023-08-23
ACC000006,CUST00006,Savings,165058.09,0,Active,2019-02-28
ACC000007,CUST00007,Current,78845.6,0,Inactive,2023-12-08
ACC000008,CUST00008,Credit,146176.39,107989,Inactive,2022-08-02
ACC000009,CUST00009,Savings,123265.04,0,Active,2018-11-06
ACC000010,CUST00010,Savings,24146.27,0,Active,2025-01-27
ACC000011,CUST00011,Savings,53243.92,0,Active,2023-07-14
ACC000012,CUST00012,Credit,128538.05,222752,Active,2018-04-13
ACC000013,CUST00013,Credit,233900.41,215066,Active,2021-12-10
ACC000014,CUST00014,Savings,92588.25,0,Active,2024-12-27
ACC000015,CUST00015,Savings,74912.74,0,Active,2018-01-31
ACC000016,CUST00016,Current,114077.39,0,Active,2019-04-11
ACC000017,CUST00017,Savings,72046.75,0,Active,2021-10-02
ACC000018,CUST00018,Current,88725.26,0,Active,2024-01-27
ACC000019,CUST00019,Savings,105787.46,0,Active,2024-08-01
ACC000020,CUST00020,Savings,51420.45,0,Active,2023-12-31
ACC000021,CUST00021,Savings,169921.03,0,Active,2024-06-17
ACC000022,CUST00022,Savings,45143.49,0,Active,2023-05-14
ACC000023,CUST00023,Credit,41305.33,179466,Active,2024-03-15
ACC000024,CUST00024,Credit,120049.23,196942,Inactive,2021-05-02
ACC000025,CUST00025,Savings,162539.55,0,Active,2023-04-05
ACC000026,CUST00026,Savings,118256.52,0,Active,2022-12-28
ACC000027,CUST00027,Savings,99289.48,0,Inactive,2020-09-08
ACC000028,CUST00028,Savings,88182.74,0,Active,2018-06-04
ACC000029,CUST00029,Savings,79318.37,0,Active,2022-03-17
ACC000030,CUST00030,Credit,191689.44,77330,Active,2019-09-25
ACC000031,CUST00031,Savings,129267.03,0,Active,2021-01-19
ACC000032,CUST00032,Savings,83438.57,0,Active,2018-12-27
ACC000033,CUST00033,Savings,68278.55,0,Active,2025-06-19
ACC000034,CUST00034,Savings,151817.46,0,Active,2018-10-26
ACC000035,CUST00035,Current,189178.3,0,Active,2018-04-17
ACC000036,CUST00036,Current,179794.14,0,Active,2025-06-14
ACC000037,CUST00037,Savings,60703.48,0,Active,2021-12-21
ACC000038,CUST00038,Savings,87717.01,0,Active,2018-11-30
ACC000039,CUST00039,Savings,78328.76,0,Active,2020-06-01
ACC000040,CUST00040,Credit,94993.26,183097,Active,2024-12-21
ACC000041,CUST00041,Current,169029.93,0,Active,2021-03-17
ACC000042,CUST00042,Savings,222044.25,0,Active,2020-10-26
ACC000043,CUST00043,Savings,132075.28,0,Active,2018-05-19
ACC000044,CUST00044,Current,69833.11,0,Active,2023-06-04
ACC000045,CUST00045,Savings,104343.59,0,Active,2024-12-02
ACC000046,CUST00046,Savings,244985.25,0,Active,2023-05-22
ACC000047,CUST00047,Savings,112454.18,0,Active,2020-06-29
ACC000048,CUST00048,Current,88303.41,0,Active,2023-05-03
ACC000049,CUST00049,Current,92951.55,0,Active,2019-10-27
ACC000050,CUST00050,Savings,131734.87,0,Active,2018-03-15
ACC000051,CUST00051,Savings,62092.13,0,Active,2024-08-31
ACC000052,CUST00052,Savings,77134.23,0,Active,2022-07-28
ACC000053,CUST00053,Savings,178329.2,0,Active,2021-06-20
ACC000054,CUST00054,Credit,129613.86,131879,Active,2025-02-01
ACC000055,CUST00055,Savings,113134.23,0,Active,2022-12-21
ACC000056,CUST00056,Credit,183273.13,232805,Active,2018-06-01
ACC000057,CUST00057,Savings,67066.54,0,Active,2023-07-22
ACC000058,CUST00058,Savings,86663.45,0,Active,2022-08-22
ACC000059,CUST00059,Credit,127201.88,176241,Active,2024-02-11
ACC000060,CUST00060,Savings,124643.53,0,Inactive,2022-11-12
ACC000061,CUST00061,Savings,38353.06,0,Active,2021-06-04
ACC000062,CUST00062,Current,81481.94,0,Active,2023-09-19
ACC000063,CUST00063,Credit,96474.56,164286,Active,2021-09-23
ACC000064,CUST00064,Savings,135295.76,0,Active,2025-05-02
ACC000065,CUST00065,Savings,124389.72,0,Inactive,2022-06-27
ACC000066,CUST00066,Savings,101877.4,0,Active,2024-01-30
ACC000067,CUST00067,Savings,24013.29,0,Active,2021-12-26
ACC000068,CUST00068,Current,104944.14,0,Active,2019-03-13
ACC000069,CUST00069,Current,110649.45,0,Active,2019-12-30
ACC000070,CUST00070,Savings,362024.96,0,Active,2020-03-23
ACC000071,CUST00071,Savings,94588.61,0,Active,2024-04-06
ACC000072,CUST00072,Savings,127600.94,0,Active,2024-05-18
ACC000073,CUST00073,Savings,200083.55,0,Active,2021-03-06
ACC000074,CUST00074,Credit,163707.14,242836,Active,2019-07-19
ACC000075,CUST00075,Savings,227038.91,0,Inactive,2019-07-09
ACC000076,CUST00076,Savings,38801.33,0,Active,2025-04-17
