merchant_id,merchant_name,category,mcc_code,city
MER001,Amazon,Shopping,5311,Pune
MER002,Flipkart,Shopping,5311,Surat
MER003,Myntra,Shopping,5651,Bhopal
MER004,Ajio,Shopping,5651,Mumbai
MER005,Zomato,Food,5812,Coimbatore
MER006,Swiggy,Food,5812,Raipur
MER007,Dominos,Food,5814,Pune
MER008,KFC,Food,5814,Patna
MER009,Uber,Travel,4121,Ranchi
MER010,Ola,Travel,4121,Pune
MER011,IRCTC,Travel,4112,Lucknow
MER012,MakeMyTrip,Travel,4722,Kolkata
MER013,BigBasket,Grocery,5411,Bengaluru
MER014,DMart,Grocery,5411,Chennai
MER015,Reliance Fresh,Grocery,5411,Pune
MER016,Apollo Pharmacy,Healthcare,5912,Lucknow
MER017,1mg,Healthcare,5912,Ranchi
MER018,MedPlus,Healthcare,5912,Chennai
MER019,Netflix,Entertainment,4899,Surat
MER020,Spotify,Entertainment,4899,Indore
MER021,BookMyShow,Entertainment,7832,Mumbai
MER022,Airtel,Utilities,4814,Gurugram
MER023,Jio,Utilities,4814,Bengaluru
MER024,TANGEDCO,Utilities,4900,Delhi
MER025,IndianOil,Fuel,5541,Bengaluru
MER026,BPCL,Fuel,5541,Noida
MER027,HPCL,Fuel,5541,Kolkata
MER028,Food Store 28,Food,5025,Mumbai
MER029,Healthcare Store 29,Healthcare,5250,Delhi
MER030,Grocery Store 30,Grocery,5142,Hyderabad
MER031,Food Store 31,Food,5692,Lucknow
MER032,Food Store 32,Food,5604,Bhubaneswar
MER033,Utilities Store 33,Utilities,5032,Surat
MER034,Shopping Store 34,Shopping,5095,Surat
MER035,Grocery Store 35,Grocery,5238,Vellore
MER036,Shopping Store 36,Shopping,5574,Chandigarh
MER037,Grocery Store 37,Grocery,5733,Bhopal
MER038,Utilities Store 38,Utilities,5225,Ahmedabad
MER039,Fuel Store 39,Fuel,5603,Hyderabad
MER040,Healthcare Store 40,Healthcare,5828,Surat
MER041,Shopping Store 41,Shopping,5777,Lucknow
MER042,Travel Store 42,Travel,5714,Patna
MER043,Utilities Store 43,Utilities,5348,Mumbai
MER044,Healthcare Store 44,Healthcare,5159,Vellore
MER045,Grocery Store 45,Grocery,5980,Noida
MER046,Entertainment Store 46,Entertainment,5104,Kolkata
MER047,Food Store 47,Food,5389,Vellore
MER048,Food Store 48,Food,5367,Bhopal
MER049,Entertainment Store 49,Entertainment,5618,Bengaluru
MER050,Healthcare Store 50,Healthcare,5826,Lucknow
MER051,Shopping Store 51,Shopping,5747,Delhi
MER052,Fuel Store 52,Fuel,5549,Lucknow
MER053,Food Store 53,Food,5996,Ahmedabad
MER054,Utilities Store 54,Utilities,5080,Mumbai
MER055,Healthcare Store 55,Healthcare,5849,Chennai
MER056,Entertainment Store 56,Entertainment,5591,Chennai
MER057,Grocery Store 57,Grocery,5721,Pune
MER058,Food Store 58,Food,5046,Chandigarh
MER059,Grocery Store 59,Grocery,5791,Jaipur
