transaction_id,account_id,merchant_id,branch_id,transaction_datetime,transaction_type,amount,payment_method,channel,opening_balance,closing_balance,status,reference_no
TXN0000001,ACC002975,MER104,BR025,2025-12-18 22:48:00,Debit,4086.42,UPI,Mobile Banking,85557.75,81471.33,Success,REF9729789661
TXN0000002,ACC004775,MER002,BR023,2025-05-18 10:37:00,Credit,1793.55,UPI,Internet Banking,105884.92,107678.47,Success,REF9434640177
TXN0000003,ACC005627,MER009,BR019,2026-04-13 02:32:00,Debit,9547.04,NEFT,Internet Banking,336343.5,326796.46,Success,REF2889483864
TXN0000004,ACC002167,MER006,BR005,2025-06-12 18:22:00,Debit,764.22,UPI,ATM,96423.36,95659.14,Success,REF4676695532
TXN0000005,ACC005845,MER085,BR010,2026-05-01 16:42:00,Debit,2599.33,Debit Card,Mobile Banking,46877.06,44277.73,Success,REF1725477974
TXN0000006,ACC002978,MER047,BR006,2026-03-11 23:55:00,Debit,625.8,Debit Card,Mobile Banking,137122.76,136496.96,Success,REF2874328806
TXN0000007,ACC003178,MER031,BR002,2025-02-10 20:27:00,Debit,793.97,IMPS,Mobile Banking,99956.07,99162.1,Success,REF8113547290
TXN0000008,ACC006111,MER063,BR022,2025-11-15 11:42:00,Debit,353.2,IMPS,Mobile Banking,115816.78,115463.58,Success,REF4198173763
TXN0000009,ACC003610,MER002,BR008,2026-03-16 03:35:00,Credit,6229.76,UPI,Internet Banking,21475.76,27705.52,Success,REF1509050218
TXN0000010,ACC002863,MER098,BR010,2025-04-21 23:16:00,Debit,12013.43,UPI,Internet Banking,139122.61,127109.18,Success,REF9780615108
TXN0000011,ACC001243,MER001,BR008,2025-08-02 05:45:00,Credit,136556.98,NEFT,Internet Banking,151226.38,287783.36,Success,REF9644772047
TXN0000012,ACC005972,MER032,BR024,2026-08-18 01:28:00,Debit,382.81,NEFT,Internet Banking,96727.59,96344.78,Success,REF5932170102
TXN0000013,ACC002507,MER002,BR001,2026-04-13 23:16:00,Credit,2131.92,NEFT,Mobile Banking,158423.5,160555.42,Success,REF9330751060
TXN0000014,ACC003032,MER060,BR019,2025-07-01 06:00:00,Debit,1566.72,Debit Card,Mobile Banking,85672.82,84106.1,Success,REF4990903730
TXN0000015,ACC000715,MER099,BR018,2025-07-17 07:19:00,Debit,11478.93,UPI,Internet Banking,257463.51,245984.58,Success,REF7677517119
TXN0000016,ACC002095,MER065,BR015,2026-04-05 03:41:00,Debit,952.22,Debit Card,POS,303381.03,302428.81,Failed,REF9797969062
TXN0000017,ACC004728,MER008,BR024,2026-07-14 16:51:00,Debit,1751.75,Debit Card,Internet Banking,80118.89,78367.14,Success,REF6020504365
TXN0000018,ACC000731,MER043,BR017,2025-03-12 17:50:00,Debit,5111.15,Debit Card,ATM,63122.59,58011.44,Success,REF7045071131
TXN0000019,ACC003340,MER002,BR018,2026-07-17 00:04:00,Credit,1253.02,Debit Card,POS,49189.73,50442.75,Success,REF6073985292
TXN0000020,ACC003332,MER109,BR020,2025-01-16 06:10:00,Debit,1184.9,UPI,Internet Banking,62611.81,61426.91,Failed,REF5593277902
